symbol,name,date,SEM,Print,Social,Email,All
FORECAST,no,09/01/2015,2790,2920,1305,1256,8272
FORECAST,no,09/08/2015,2451,2993,1436,1497,8377
FORECAST,no,09/15/2015,2275,2872,1540,1205,7893
FORECAST,no,09/22/2015,2597,3145,1656,1524,8922
FORECAST,no,09/29/2015,2363,2935,1389,1741,8428
FORECAST,no,10/06/2015,3288,3345,1594,1621,9847
FORECAST,no,10/13/2015,2815,3094,1538,1605,9052
FORECAST,no,10/20/2015,2704,3249,1433,1700,9086
FORECAST,no,10/27/2015,2633,3187,1487,1429,8737
FORECAST,no,11/4/2015,2512,3152,1400,1707,8772
FORECAST,no,11/11/2015,2901,3105,1369,1937,9312
FORECAST,no,11/18/2015,3125,3004,1320,2119,9568
FORECAST,no,11/25/2015,2737,2947,1333,1116,8133
FORECAST,no,12/2/2015,2427,3060,1526,1369,8381
FORECAST,no,12/9/2015,2260,2902,1615,1354,8131
FORECAST,no,12/16/2015,2384,2938,1444,1791,8556
FORECAST,no,12/23/2015,3311,3405,1654,1559,9929
FORECAST,no,12/30/2015,2838,3135,1592,1537,9103
FORECAST,no,01/06/2016,3119,3390,1735,1518,9762
FORECAST,no,01/13/2016,2689,3248,1648,1474,9059
FORECAST,no,01/20/2016,2491,3429,1528,1779,9226
FORECAST,no,01/27/2016,2560,3377,1600,1472,9010
FORECAST,no,02/04/2016,2653,3429,1546,1612,9240
FORECAST,no,02/11/2016,2649,3422,1632,1358,9062
FORECAST,no,02/18/2016,2523,3414,1560,1626,9122
FORECAST,no,02/25/2016,2895,3339,1514,1924,9671
FORECAST,no,03/02/2016,3120,3295,1437,2020,9871
FORECAST,no,03/09/2016,2729,3125,1444,1100,8398
FORECAST,no,03/16/2016,2412,3232,1595,1327,8566
FORECAST,no,03/23/2016,2254,3075,1677,1306,8313
FORECAST,no,03/30/2016,2597,3312,1763,1481,9153
FORECAST,no,04/06/2016,2363,3075,1473,1721,8632
FORECAST,no,04/13/2016,2137,3083,1220,1311,7751
FORECAST,no,04/20/2016,2003,2953,1152,1427,7535
FORECAST,no,04/27/2016,1987,2884,1317,1588,7777
FORECAST,no,05/04/2016,1865,2836,1268,1537,7506
FORECAST,no,05/11/2016,2129,3105,1249,1325,7808
FORECAST,no,05/18/2016,2029,2960,1157,1409,7555
FORECAST,no,05/25/2016,1979,2868,1297,1474,7618
FORECAST,no,06/02/2016,1882,2799,1275,1450,7405
FORECAST,no,06/09/2016,2443,3186,1552,1250,8431
FORECAST,no,06/16/2016,2220,3053,1663,1247,8182
FORECAST,no,06/23/2016,2594,3309,1759,1418,9080
FORECAST,no,06/30/2016,2359,3082,1474,1647,8561
FORECAST,no,07/06/2016,2676,3375,1506,1652,9209
FORECAST,no,07/13/2016,2627,3341,1563,1393,8924
FORECAST,no,07/20/2016,2675,3368,1490,1680,9214
FORECAST,no,07/27/2016,2632,3321,1550,1402,8903
FORECAST,no,08/04/2016,2529,3385,1482,1525,8921
FORECAST,no,08/11/2016,3355,3594,1712,2432,11093
FORECAST,no,08/18/2016,3608,3989,1871,2757,12225
FORECAST,no,08/25/2016,3425,3524,1831,2866,11645
FORECAST,no,09/02/2016,3224,3345,1772,2080,10421
FORECAST,no,09/07/2016,2251,2697,1429,1527,7904
FORECAST,no,09/14/2016,2536,3099,1462,1651,8748
FORECAST,no,09/21/2016,2474,3032,1478,1411,8395
FORECAST,no,09/28/2016,2582,3133,1412,1652,8779
FORECAST,yes,10/05/2016,4500,4900,2500,3600,15000
SPEND,no,09/01/2015,50000,120000,40000,20000,230000
SPEND,no,09/08/2015,44000,123000,44000,24000,235000
SPEND,no,09/15/2015,41000,118000,47000,23000,229000
SPEND,no,09/22/2015,47000,128000,50000,26000,251000
SPEND,no,09/29/2015,43000,120000,42000,30000,235000
SPEND,no,10/06/2015,60000,135000,48000,29000,272000
SPEND,no,10/13/2015,52000,125000,46000,28000,251000
SPEND,no,10/20/2015,49000,132000,43000,31000,255000
SPEND,no,10/27/2015,48000,131000,45000,26000,250000
SPEND,no,11/4/2015,46000,130000,43000,29000,248000
SPEND,no,11/11/2015,53000,128000,42000,34000,257000
SPEND,no,11/18/2015,57000,126000,40000,37000,260000
SPEND,no,11/25/2015,50000,120000,40000,20000,230000
SPEND,no,12/2/2015,44000,123000,44000,24000,235000
SPEND,no,12/9/2015,41000,118000,47000,23000,229000
SPEND,no,12/16/2015,43000,120000,42000,30000,235000
SPEND,no,12/23/2015,60000,135000,48000,29000,272000
SPEND,no,12/30/2015,52000,125000,46000,28000,251000
SPEND,no,01/06/2016,60000,135000,48000,29000,272000
SPEND,no,01/13/2016,52000,125000,46000,28000,251000
SPEND,no,01/20/2016,49000,132000,43000,31000,255000
SPEND,no,01/27/2016,48000,131000,45000,26000,250000
SPEND,no,02/04/2016,49000,132000,43000,31000,255000
SPEND,no,02/11/2016,48000,131000,45000,26000,250000
SPEND,no,02/18/2016,46000,130000,43000,29000,248000
SPEND,no,02/25/2016,53000,128000,42000,34000,257000
SPEND,no,03/02/2016,57000,126000,40000,37000,260000
SPEND,no,03/09/2016,50000,120000,40000,20000,230000
SPEND,no,03/16/2016,44000,123000,44000,24000,235000
SPEND,no,03/23/2016,41000,118000,47000,23000,229000
SPEND,no,03/30/2016,47000,128000,50000,26000,251000
SPEND,no,04/06/2016,43000,120000,42000,30000,235000
SPEND,no,04/13/2016,39000,120000,35000,24000,218000
SPEND,no,04/20/2016,37000,115000,33000,26000,211000
SPEND,no,04/27/2016,36000,112000,37000,27000,212000
SPEND,no,05/04/2016,34000,110000,36000,28000,208000
SPEND,no,05/11/2016,39000,120000,35000,24000,218000
SPEND,no,05/18/2016,37000,115000,33000,26000,211000
SPEND,no,05/25/2016,36000,112000,37000,27000,212000
SPEND,no,06/02/2016,34000,110000,36000,28000,208000
SPEND,no,06/09/2016,44000,123000,44000,24000,235000
SPEND,no,06/16/2016,41000,118000,47000,23000,229000
SPEND,no,06/23/2016,47000,128000,50000,26000,251000
SPEND,no,06/30/2016,43000,120000,42000,30000,235000
SPEND,no,07/06/2016,49000,132000,43000,31000,255000
SPEND,no,07/13/2016,48000,131000,45000,26000,250000
SPEND,no,07/20/2016,49000,132000,43000,31000,255000
SPEND,no,07/27/2016,48000,131000,45000,26000,250000
SPEND,no,08/04/2016,46000,130000,43000,29000,248000
SPEND,no,08/11/2016,62000,140000,50000,40000,292000
SPEND,no,08/18/2016,67000,150000,55000,45000,317000
SPEND,no,08/25/2016,65000,148000,54000,44000,311000
